Date,Mon2bed
03-01,300
04-01,300
05-01,300
06-01,300
07-01,300
08-01,300
09-01,300
10-01,300
11-01,300
12-01,300
13-01,300
14-01,300
15-01,300
16-01,300
17-01,300
22-01,320
23-01,320
24-01,320
25-01,300
26-01,300
27-01,300
28-01,300
29-01,300
30-01,300
31-01,300
01-02,210
02-02,210
03-02,210
04-02,210
05-02,210
06-02,210
07-02,210
08-02,210
09-02,210
10-02,210
11-02,210
12-02,210
13-02,210
14-02,210
15-02,210
16-02,210
17-02,210
18-02,210
19-02,210
20-02,210
21-02,210
22-02,210
23-02,210
24-02,210
25-02,210
26-02,210
27-02,210
28-02,210
29-02,210
01-03,280
05-03,280
06-03,280
07-03,280
08-03,280
09-03,280
10-03,280
11-03,280
12-03,280
13-03,280
14-03,280
15-03,280
16-03,280
17-03,280
18-03,280
19-03,280
20-03,280
21-03,280
22-03,280
23-03,280
24-03,280
25-03,280
26-03,280
27-03,280
28-03,280
29-03,280
30-03,280
31-03,280
01-04,330
02-04,330
09-04,500
10-04,400
11-04,400
12-04,400
13-04,400
14-04,330
15-04,330
16-04,330
17-04,330
18-04,330
19-04,330
20-04,330
21-04,330
22-04,330
23-04,330
24-04,330
25-04,330
26-04,330
27-04,330
28-04,330
29-04,330
30-04,330
01-05,400
02-05,400
03-05,400
04-05,400
05-05,400
06-05,400
07-05,400
08-05,400
09-05,400
11-05,400
12-05,400
13-05,400
14-05,400
15-05,400
16-05,400
17-05,400
18-05,525
19-05,525
20-05,525
21-05,525
22-05,525
23-05,525
24-05,525
25-05,525
26-05,525
27-05,525
28-05,525
29-05,525
30-05,525
31-05,525
01-06,525
02-06,525
03-06,525
04-06,525
05-06,525
06-06,525
07-06,525
08-06,525
09-06,525
10-06,525
11-06,525
12-06,525
13-06,525
14-06,525
15-06,525
16-06,525
17-06,525
18-06,525
19-06,525
20-06,700
21-06,700
22-06,700
23-06,700
24-06,700
25-06,700
26-06,700
27-06,700
28-06,700
29-06,700
30-06,700
01-07,700
02-07,700
03-07,700
04-07,700
05-07,700
06-07,700
07-07,700
08-07,700
09-07,700
10-07,700
11-07,700
12-07,700
13-07,700
14-07,700
15-07,700
16-07,700
17-07,700
18-07,700
19-07,700
20-07,700
21-07,700
22-07,700
23-07,700
24-07,700
25-07,700
26-07,700
27-07,700
28-07,700
29-07,700
30-07,700
31-07,700
01-08,700
02-08,700
03-08,700
04-08,700
05-08,700
06-08,700
07-08,700
08-08,700
09-08,700
10-08,700
11-08,700
12-08,700
13-08,700
14-08,700
15-08,700
16-08,700
17-08,700
18-08,700
19-08,700
20-08,700
21-08,700
22-08,700
23-08,700
24-08,700
25-08,700
26-08,700
27-08,700
28-08,700
29-08,700
30-08,700
31-08,700
01-09,700
02-09,700
03-09,700
04-09,700
05-09,700
06-09,700
07-09,700
08-09,700
09-09,700
10-09,700
